,0,1,2,3,4,5,6,7,8,9,10,11
0,ankle,True,4,SG,True,True,4463,13.999,24.124489795918375,,,
1,ankle,True,4,PF,True,True,4980,16.999,29.63548387096774,,,
2,ankle,True,4,PG,True,True,6744,33.999,24.732283464566933,,,
3,ankle,True,4,C,True,True,6238,17.999,22.6969696969697,,,
4,ankle,True,4,SF,True,True,4154,10.999,21.826315789473686,,,
5,ankle,True,4,G,True,True,14169,70.999,21.889338235294105,,,
6,ankle,True,4,F,True,True,11781,33.999,26.06015625000001,,,
7,ankle,True,4,SG,False,True,4463,13.999,23.66153846153846,28.549999999999997,22.0,22.325000000000003
8,ankle,True,4,PF,False,True,4980,16.999,32.975,27.7625,28.333333333333332,29.37333333333333
9,ankle,True,4,PG,False,True,6744,33.999,23.842424242424237,24.265625,25.893548387096775,25.0
10,ankle,True,4,C,False,True,6238,17.999,25.658823529411762,23.78235294117647,19.931250000000002,21.1625
11,ankle,True,4,SF,False,True,4154,10.999,21.71,21.42,23.01111111111111,21.22222222222222
12,ankle,True,4,G,False,True,14169,70.999,21.880000000000003,22.720588235294116,22.62089552238805,20.323880597014938
13,ankle,True,4,F,False,True,11781,33.999,27.89090909090909,26.35757575757576,25.16451612903225,24.69032258064515
14,ankle,True,4,SG,,True,4463,13.999,23.66153846153846,28.549999999999997,22.0,22.325000000000003
15,ankle,True,4,PF,,True,4980,16.999,32.975,27.7625,28.333333333333332,29.37333333333333
16,ankle,True,4,PG,,True,6744,33.999,23.842424242424237,24.265625,25.893548387096775,25.0
17,ankle,True,4,C,,True,6238,17.999,25.658823529411762,23.78235294117647,19.931250000000002,21.1625
18,ankle,True,4,SF,,True,4154,10.999,21.71,21.42,23.01111111111111,21.22222222222222
19,ankle,True,4,G,,True,14169,70.999,21.880000000000003,22.720588235294116,22.62089552238805,20.323880597014938
20,ankle,True,4,F,,True,11781,33.999,27.89090909090909,26.35757575757576,25.16451612903225,24.69032258064515
21,ankle,True,4,SG,True,False,4463,6.666,21.6875,,,
22,ankle,True,4,PF,True,False,4980,8.888,22.043749999999996,,,
23,ankle,True,4,PG,True,False,6744,8.888,23.306249999999995,,,
24,ankle,True,4,C,True,False,6238,12.999,25.76041666666667,,,
25,ankle,True,4,SF,True,False,4154,8.888,25.865624999999998,,,
26,ankle,True,4,G,True,False,14169,21.999,23.15357142857143,,,
27,ankle,True,4,F,True,False,11781,20.999,24.003749999999993,,,
28,ankle,True,4,SG,False,False,4463,6.666,16.700000000000003,24.666666666666668,25.483333333333334,19.900000000000002
29,ankle,True,4,PF,False,False,4980,8.888,21.3,21.875,24.599999999999998,20.400000000000002
30,ankle,True,4,PG,False,False,6744,8.888,18.6625,27.55,21.25,25.762499999999996
31,ankle,True,4,C,False,False,6238,12.999,28.108333333333334,25.066666666666666,24.433333333333334,25.433333333333334
32,ankle,True,4,SF,False,False,4154,8.888,22.1875,29.825000000000003,24.8875,26.5625
33,ankle,True,4,G,False,False,14169,21.999,19.738095238095234,26.076190476190476,23.776190476190475,23.023809523809526
34,ankle,True,4,F,False,False,11781,20.999,22.355,26.165,24.095000000000006,23.4
35,ankle,True,4,SG,,False,4463,6.666,16.700000000000003,24.666666666666668,25.483333333333334,19.900000000000002
36,ankle,True,4,PF,,False,4980,8.888,21.3,21.875,24.599999999999998,20.400000000000002
37,ankle,True,4,PG,,False,6744,8.888,18.6625,27.55,21.25,25.762499999999996
38,ankle,True,4,C,,False,6238,12.999,28.108333333333334,25.066666666666666,24.433333333333334,25.433333333333334
39,ankle,True,4,SF,,False,4154,8.888,22.1875,29.825000000000003,24.8875,26.5625
40,ankle,True,4,G,,False,14169,21.999,19.738095238095234,26.076190476190476,23.776190476190475,23.023809523809526
41,ankle,True,4,F,,False,11781,20.999,22.355,26.165,24.095000000000006,23.4
42,ankle,True,4,SG,True,,4463,17.999,23.962903225806453,,,
43,ankle,True,4,PF,True,,4980,20.999,28.11538461538462,,,
44,ankle,True,4,PG,True,,6744,38.999,24.699315068493153,,,
45,ankle,True,4,C,True,,6238,28.999,23.949999999999992,,,
46,ankle,True,4,SF,True,,4154,15.999,23.612727272727277,,,
47,ankle,True,4,G,True,,14169,86.999,22.24680851063829,,,
48,ankle,True,4,F,True,,11781,46.999,25.945142857142866,,,
49,ankle,True,4,SG,False,,4463,17.999,21.864705882352936,28.453333333333333,23.466666666666672,22.346666666666668
50,ankle,True,4,PF,False,,4980,20.999,29.794999999999998,27.134999999999998,28.168421052631576,27.326315789473682
