,gmDate,gmTime,seasTyp,playLNm,playFNm,teamAbbr,teamConf,teamDiv,teamLoc,teamRslt,teamDayOff,offLNm1,offFNm1,offLNm2,offFNm2,offLNm3,offFNm3,playDispNm,playStat,playMin,playPos,playHeight,playWeight,playBDate,playPTS,playAST,playTO,playSTL,playBLK,playPF,playFGA,playFGM,playFG%,play2PA,play2PM,play2P%,play3PA,play3PM,play3P%,playFTA,playFTM,playFT%,playORB,playDRB,playTRB,opptAbbr,opptConf,opptDiv,opptLoc,opptRslt,opptDayOff
0,04/13/2011,,,Cunningham,Dante,CHA,,,vs.,W,,,,,,,,Dante Cunningham,,29,F,,,,14,0,2,1,1,2,11,7,63.6,,,,0,0,-,0,0,-,1,5,,ATL,,,,,
1,04/13/2011,,,Teague,Jeff,ATL,,,@,L,,,,,,,,Jeff Teague,,22,G,,,,10,1,1,0,1,1,10,4,40.0,,,,2,1,50.0,2,1,50.0,1,1,,CHA,,,,,
2,04/13/2011,,,Horford,Al,ATL,,,@,L,,,,,,,,Al Horford,,14,C-F,,,,2,0,2,1,0,1,4,1,25.0,,,,0,0,-,0,0,-,0,3,,CHA,,,,,
3,04/13/2011,,,McGuire,Dominic,CHA,,,vs.,W,,,,,,,,Dominic McGuire,,18,,,,,8,0,0,0,0,2,5,2,40.0,,,,0,0,-,4,4,100,0,4,,ATL,,,,,
4,04/13/2011,,,Temple,Garrett,CHA,,,vs.,W,,,,,,,,Garrett Temple,,14,G-F,,,,3,4,2,0,0,2,4,1,25.0,,,,1,1,100,0,0,-,0,1,,ATL,,,,,
5,04/13/2011,,,Johnson,Joe,ATL,,,@,L,,,,,,,,Joe Johnson,,10,G-F,,,,2,1,2,0,0,3,6,1,16.7,,,,2,0,0.0,0,0,-,0,0,,CHA,,,,,
6,04/13/2011,,,Pachulia,Zaza,ATL,,,@,L,,,,,,,,Zaza Pachulia,,25,C,,,,2,2,0,0,0,3,3,1,33.3,,,,0,0,-,0,0,-,3,7,,CHA,,,,,
7,04/13/2011,,,Powell,Josh,ATL,,,@,L,,,,,,,,Josh Powell,,34,F,,,,16,2,1,0,1,2,10,5,50.0,,,,0,0,-,7,6,85.7,0,5,,CHA,,,,,
8,04/13/2011,,,Augustin,D.J.,CHA,,,vs.,W,,,,,,,,D.J. Augustin,,34,G,,,,17,7,1,1,0,1,13,6,46.2,,,,4,1,25.0,4,4,100,0,2,,ATL,,,,,
9,04/13/2011,,,Thomas,Etan,ATL,,,@,L,,,,,,,,Etan Thomas,,23,C,,,,8,1,2,0,4,1,6,3,50.0,,,,0,0,-,2,2,100,2,4,,CHA,,,,,
